Age,Income,Number of Children,Gender Encoded,Education Encoded,Marital Encoded,HomeOwnership Encoded
49,77500.0,1,0,2,0,0
37,65000.0,2,0,1,0,0
46,97500.0,1,0,3,0,0
32,57500.0,0,1,0,1,1
37,70000.0,2,0,1,0,0
37,85000.0,1,0,2,0,0
41,120000.0,0,1,2,1,0
25,59220.72230977647,0,0,1,1,1
33,52500.0,0,1,3,1,1
26,64993.093463611964,0,0,1,0,0
36,57500.0,0,1,0,1,1
28,68212.90760564808,1,0,1,0,0
32,47500.0,0,0,0,1,1
25,57651.252646089524,0,0,1,1,1
31,57500.0,0,0,0,1,1
29,69021.00021188914,0,1,1,1,1
26,47304.68558755779,0,0,0,1,1
34,47500.0,0,1,0,1,1
32,59510.042843952135,0,0,1,1,1
25,60113.06822227634,0,0,1,1,1
33,52500.0,0,1,3,1,1
29,57500.0,0,0,0,1,1
34,45678.37257943474,0,1,0,1,1
32,45000.0,0,0,0,1,1
26,45891.883316733976,0,0,0,1,1
29,64297.663725781546,0,0,1,1,1
29,51143.25979210438,0,0,1,1,1
27,47500.0,0,0,0,1,1
32,57500.0,0,0,0,1,1
26,47500.0,0,0,0,1,1
33,47467.217341501295,0,0,0,1,1
34,57500.0,0,0,1,1,1
34,57500.0,0,0,1,1,1
28,67969.62835582018,1,0,1,0,0
27,45000.0,0,0,0,1,1
33,57500.0,0,1,0,1,1
36,46822.517920102466,0,1,0,1,1
25,61928.17586671487,0,0,1,1,1
33,52500.0,0,1,3,1,1
31,45000.0,0,0,0,1,1
32,52210.327351187174,0,0,2,1,1
32,47500.0,0,0,0,1,1
29,70325.26404879331,0,1,1,1,1
29,64172.754937868376,0,0,1,1,1
33,52500.0,0,1,3,1,1
28,45777.45580428916,0,0,0,1,1
33,57500.0,0,0,1,1,1
30,65811.18146498581,0,0,1,0,0
28,64093.893678388034,0,0,1,1,1
33,47218.031856440815,0,0,0,1,1
34,46180.537312904875,0,1,0,1,1
32,52201.014385154245,0,0,2,1,1
34,45716.888031942515,0,1,0,1,1
33,52500.0,0,1,3,1,1
37,56403.19299392374,0,1,0,1,1
29,64427.4179498864,0,0,1,1,1
29,43703.46697273293,0,0,0,1,1
34,47500.0,0,1,0,1,1
30,57500.0,0,0,0,1,1
25,60063.547816860235,0,0,1,1,1
33,52500.0,0,1,3,1,1
28,28479.914312095727,0,0,2,1,1
27,32726.13644455269,0,0,0,1,1
28,30873.348346183677,0,0,0,1,1
33,35556.61355155259,0,0,1,1,1
27,36143.25484113052,0,0,2,1,1
29,27500.0,0,0,3,1,1
28,29283.766633467945,0,0,1,1,1
27,33904.6725484369,0,0,0,1,1
28,30213.480415791244,0,0,1,1,1
28,32500.0,0,0,0,1,1
28,32500.0,0,0,0,1,1
28,27872.753218398855,0,0,2,1,1
29,27500.0,0,0,3,1,1
28,31361.223846483288,0,0,0,1,1
28,28493.578407670862,0,0,2,1,1
28,27527.61058561801,0,0,2,1,1
29,27500.0,0,0,3,1,1
29,27500.0,0,0,3,1,1
28,31145.035840204935,0,0,0,1,1
30,33643.64826657027,0,0,0,1,1
28,32129.776741329548,0,0,0,1,1
28,29292.328642721364,0,0,1,1,1
29,27500.0,0,0,3,1,1
29,27500.0,0,0,3,1,1
27,34383.50936586221,0,0,1,1,1
28,32500.0,0,0,0,1,1
29,27500.0,0,0,3,1,1
34,35945.08839142169,0,0,2,1,1
28,29125.916610133736,0,0,2,1,1
28,32500.0,0,0,0,1,1
30,37500.0,0,0,3,1,1
28,28063.93628711837,0,0,2,1,1
28,32500.0,0,0,0,1,1
28,31902.02877030849,0,0,0,1,1
30,33933.77606388502,0,0,0,1,1
28,31303.925243084486,0,0,0,1,1
29,27500.0,0,0,3,1,1
34,37500.0,0,0,3,1,1
29,27500.0,0,0,3,1,1
27,34886.33585309003,0,0,1,1,1
28,29637.705091792748,0,0,1,1,1
28,32372.904366279523,0,0,0,1,1
28,28039.457134966524,0,0,2,1,1
28,27657.14592843367,0,0,2,1,1
27,35682.052056318906,0,0,1,1,1
27,35928.220094618366,0,0,2,1,1
28,32500.0,0,0,0,1,1
29,27500.0,0,0,3,1,1
28,31253.538854255625,0,0,0,1,1
28,30448.08538482185,0,0,1,1,1
34,37500.0,0,0,3,1,1
34,36356.00917254189,0,0,2,1,1
27,37115.100450856036,0,0,2,1,1
27,36051.24273543116,0,0,2,1,1
27,33306.10643627002,0,0,0,1,1
28,32500.0,0,0,0,1,1
29,27500.0,0,0,3,1,1
28,30667.018782552117,0,0,1,1,1
28,31857.30295093859,0,0,0,1,1
29,27500.0,0,0,3,1,1
27,37500.0,0,0,3,1,1
28,37500.0,0,0,3,1,1
28,30196.711209578254,0,0,1,1,1
27,36537.20077582031,0,0,2,1,1
28,28019.543500382533,0,0,2,1,1
28,32500.0,0,0,0,1,1
36,36949.74037736162,0,0,2,1,1
27,36360.324187290295,0,0,2,1,1
27,35364.46105686872,0,0,1,1,1
29,27500.0,0,0,3,1,1
27,36803.65291628172,0,0,2,1,1
27,37500.0,0,0,3,1,1
28,29946.26348711217,0,0,1,1,1
27,35412.94498425611,0,0,1,1,1
27,33610.53905235365,0,0,0,1,1
